code,value,name_en,name_es
AFG,594.323081219966,Afghanistan,Afganistán
AGO,4101.47215182964,Angola,Angola
ALB,3945.21758150914,Albania,Albania
ARE,40438.7629344394,United Arab Emirates,Emiratos Árabes Unidos
ARG,13431.8783398577,Argentina,Argentina
ARM,3489.12768956995,Armenia,Armenia
ATG,13714.7319616988,Antigua and Barbuda,Antigua y Barbuda
AUS,56310.9629933721,Australia,Australia
AUT,43774.985173612,Austria,Austria
AZE,5496.34464026248,Azerbaijan,Azerbaiyán
BDI,277.068309170914,Burundi,Burundi
BEL,40324.0277657215,Belgium,Bélgica
BEN,762.051205441965,Benin,Benín
BFA,589.774414136617,Burkina Faso,Burkina Faso
BGD,1211.70153057661,Bangladesh,Bangladés
BGR,6993.47735975728,Bulgaria,Bulgaria
BHR,22600.2140981035,Bahrain,Baréin
BHS,22817.2308572518,Bahamas,Bahamas
BIH,4249.3303131949,Bosnia and Herzegovina,Bosnia y Herzegovina
BLR,5740.45649479562,Belarus,Bielorrusia
BLZ,4878.72126724745,Belize,Belice
BOL,3076.79181060881,Bolivia,Bolivia
BRA,8538.5899749574,Brazil,Brasil
BRB,15429.3404640853,Barbados,Barbados
BRN,30554.7296658073,Brunei,Brunéi
BTN,2655.99889161858,Bhutan,Bután
BWA,6360.13822018837,Botswana,Botsuana
CAF,323.201674024141,Central African Republic,República Centroafricana
CAN,43248.529909341,Canada,Canadá
CHE,80945.0792194742,Switzerland,Suiza
CHL,13416.2300390185,Chile,Chile
CHN,8027.68381013907,China,China
CIV,1398.98995768413,Côte d'Ivoire,Costa de Marfil
CMR,1217.26067048427,Cameroon,Camerún
COG,1851.19991555492,Congo,Congo
COL,6056.14771720405,Colombia,Colombia
COM,717.448849960912,Comoros,Comoras
CPV,3080.17881445563,Cabo Verde,Cabo Verde
CRI,11260.0921598775,Costa Rica,Costa Rica
CYP,23242.8400685313,Cyprus,Chipre
CZE,17548.3382129701,Czech Republic,República Checa
DEU,41313.3139945434,Germany,Alemania
DJI,1945.12429310444,Djibouti,Yibuti
DMA,7116.38639189547,Dominica,Dominica
DNK,51989.2934712354,Denmark,Dinamarca
DOM,6468.4734915433,Dominican Republic,República Dominicana
DZA,4206.03123244958,Algeria,Argelia
ECU,6205.06414529951,Ecuador,Ecuador
EGY,3614.74676616271,Egypt,Egipto
ESP,25831.5823052954,Spain,España
EST,17118.5042003236,Estonia,Estonia
ETH,619.169406475891,Ethiopia,Etiopía
FIN,42311.0362306446,Finland,Finlandia
FJI,4960.51995438419,Fiji,Fiyi
FRA,36205.5681017036,France,Francia
FSM,3015.23166762397,Micronesia,Micronesia
GAB,8266.4456050624,Gabon,Gabón
GBR,43875.9696143686,United Kingdom,Reino Unido
GEO,3795.97330845042,Georgia,Georgia
GHA,1369.70112227585,Ghana,Ghana
GIN,531.320595188714,Guinea,Guinea
GMB,471.537195472347,Gambia,Gambia
GNB,572.988428543071,Guinea-Bissau,Guinea-Bisáu
GNQ,14439.5944478516,Equatorial Guinea,Guinea Ecuatorial
GRC,18002.2305776688,Greece,Grecia
GRD,9212.02035173484,Grenada,Granada
GTM,3903.47885604613,Guatemala,Guatemala
GUY,4127.35101806198,Guyana,Guyana
HKG,42327.8399570345,Hong Kong,Hong Kong
HND,2528.89354988523,Honduras,Honduras
HRV,11535.8293558997,Croatia,Croacia
HTI,818.343297634549,Haiti,Haiti
HUN,12363.5434596539,Hungary,Hungría
IDN,3346.48703949478,Indonesia,Indonesia
IND,1598.25903421916,India,India
IRL,61133.672427322,Ireland,Irlanda
IRQ,4943.76038832056,Iraq,Irak
ISL,50173.3399156473,Iceland,Islandia
ISR,35728.0934951515,Israel,Israel
ITA,29957.8043154372,Italy,Italia
JAM,5232.02458271187,Jamaica,Jamaica
JOR,4940.04583574111,Jordan,Jordania
JPN,34523.7007742331,Japan,Japón
KAZ,10509.9810699442,Kazakhstan,Kazajistán
KEN,1376.71282894881,Kenya,Kenia
KGZ,1103.2153515202,Kyrgyzstan,Kirguistán
KHM,1158.6899035244,Cambodia,Camboya
KIR,1424.28087874779,Kiribati,Kiribati
KNA,15771.9455041308,Saint Kitts and Nevis,San Cristóbal y Nieves
KOR,27221.5240509661,South Korea,Corea del Sur
KWT,29300.5755750333,Kuwait,Kuwait
LAO,1818.44137293236,Laos,Laos
LBN,8047.64508557496,Lebanon,Líbano
LBR,455.873934536237,Liberia,Liberia
LCA,7735.91048440102,Saint Lucia,Santa Lucía
LKA,3926.17439589454,Sri Lanka,Sri Lanka
LSO,1066.98562625017,Lesotho,Lesoto
LTU,14147.0493792403,Lithuania,Lituania
LUX,101449.968168042,Luxembourg,Luxemburgo
LVA,13648.5475564772,Latvia,Letonia
MAC,78585.8770573122,Macao,Macao
MAR,2878.20134215919,Morocco,Marruecos
MDA,1848.06180430428,Moldova,Moldavia
MDG,401.836006029745,Madagascar,Madagascar
MDV,8395.78519750383,Maldives,Maldives
MEX,9005.02426497766,Mexico,México
MHL,3385.96746295547,Marshall Islands,Islas Marshall
MKD,4852.6578476699,Macedonia,Macedonia
MLI,724.256283193304,Mali,Mali
MLT,22596.1817742659,Malta,Malta
MMR,1161.48815791087,Myanmar,Myanmar
MNE,6406.07085533633,Montenegro,Montenegro
MNG,3967.82938559498,Mongolia,Mongolia
MOZ,529.242556068943,Mozambique,Mozambique
MUS,9252.11072429051,Mauritius,Mauricio
MWI,371.985747810344,Malawi,Malaui
MYS,9768.32686011881,Malaysia,Malasia
NAM,4673.56724769495,Namibia,Namibia
NER,358.958152040005,Niger,Níger
NGA,2640.2907388575,Nigeria,Nigeria
NIC,2086.89500277099,Nicaragua,Nicaragua
NLD,44299.768085383,Netherlands,Países Bajos
NOR,74400.3697770928,Norway,Noruega
NPL,743.322965726435,Nepal,Nepal
NRU,9827.54428148233,Nauru,Nauru
NZL,37807.9672760442,New Zealand,Nueva Zelanda
OMN,15550.6762514328,Oman,Omán
PAK,1434.69666504969,Pakistan,Pakistán
PAN,13268.1137549335,Panama,Panamá
PER,6027.12585529551,Peru,Perú
PHL,2904.20208191528,Philippines,Filipinas
PLW,13498.661406228,Palau,Palaos
POL,12554.5475536313,Poland,Polonia
PRT,19222.1500764153,Portugal,Portugal
PRY,4080.95144785437,Paraguay,Paraguay
QAT,73653.3944346574,Qatar,Catar
ROU,8972.92251840971,Romania,Rumania
RUS,9092.58053606884,Russia,Rusia
RWA,697.34822808289,Rwanda,Ruanda
SAU,20481.7453220484,Saudi Arabia,Arabia Saudí
SDN,2414.72360102858,Sudan,Sudán
SEN,899.579879484977,Senegal,Senegal
SGP,52888.7446717529,Singapore,Singapur
SLB,1934.85629287353,Solomon Islands,Islas Salomón
SLE,653.131815940648,Sierra Leone,Sierra Leona
SLV,4219.35032953932,El Salvador,El Salvador
SOM,549.266976567576,Somalia,Somalia
SRB,5235.14220696525,Serbia,Serbia
SSD,730.580100916022,South Sudan,Sudán del Sur
STP,1669.06326801326,Sao Tome and Principe,Santo Tomé y Príncipe
SUR,9485.31924429496,Suriname,Surinam
SVK,16088.2775872723,Slovakia,Eslovaquia
SVN,20726.5398863708,Slovenia,Eslovenia
SWE,50579.6736486777,Sweden,Suecia
SWZ,3200.14301756487,Swaziland,Suazilandia
SYC,15476.01944443,Seychelles,Seychelles
TCD,775.695090525313,Chad,Chad
TGO,559.635876661945,Togo,Togo
THA,5814.76976382355,Thailand,Tailandia
TJK,925.91188767081,Tajikistan,Tayikistán
TKM,6672.47754417351,Turkmenistan,Turkmenistán
TLS,1157.99295590816,Timor-Leste,Timor Oriental
TON,4098.54392925825,Tonga,Tonga
TTO,17321.884675056,Trinidad and Tobago,Trinidad y Tobago
TUN,3872.51208364171,Tunisia,Túnez
TUR,9125.68758972936,Turkey,Turquía
TUV,3295.00582293413,Tuvalu,Tuvalu
TZA,878.97510552608,Tanzania,Tanzania
UGA,705.292569535068,Uganda,Uganda
UKR,2114.95471628444,Ukraine,Ucrania
URY,15573.9009191818,Uruguay,Uruguay
USA,56115.7184261955,United States,Estados Unidos
UZB,2132.07036847857,Uzbekistan,Uzbekistán
VCT,6739.17483286945,Saint Vincent and the Grenadines,San Vicente y las Granadinas
VNM,2111.13802366815,Vietnam,Vietnam
VUT,2805.31464353567,Vanuatu,Vanuatu
PSE,2866.80010005429,Palestine,Palestina
WSM,3938.54884570316,Samoa,Samoa
YEM,1406.2916511457,Yemen,Yemen
ZAF,5723.97335690212,South Africa,Sudáfrica
COD,456.052740548027,Democratic Republic of the Congo,República Democrática del Congo
ZMB,1304.87901447726,Zambia,Zambia
ZWE,924.143819253412,Zimbabwe,Zimbabue
